Word,Hint 1 (Chapter Title),Hint 2 (General Related Word),Hint 3 (Stronger Hint)
DISPOSABLE INCOME,Short-Run Macroeconomic Equilibrium,After-Tax Income,Income remaining after deduction of taxes (Y-T).
WEALTH,Short-Run Macroeconomic Equilibrium,Assets - Liabilities,The total value of assets minus the total value of liabilities.
BUSINESS CYCLE,Short-Run Macroeconomic Equilibrium,Fluctuations,The natural tendency of the economy to move towards and away from full-employment output.
RECESSION,Short-Run Macroeconomic Equilibrium,Decline,"A significant decline in economic activity spread across the economy, lasting months."
TROUGH,Short-Run Macroeconomic Equilibrium,Low Point,The lowest point of economic activity in a business cycle before recovery begins.
EXPANSION,Short-Run Macroeconomic Equilibrium,Growth,A period when the economy moves from a trough to a peak.
PEAK,Short-Run Macroeconomic Equilibrium,High Point,The highest point of economic activity in a business cycle before a recession.
DEPRESSION,Short-Run Macroeconomic Equilibrium,Severe Recession,"A sustained, long-term downturn in economic activity."
MARGINAL PROPENSITY TO SAVE,Short-Run Macroeconomic Equilibrium,Fraction Saved,MPS: The fraction of an additional dollar of disposable income that is saved. (1-MPC)
EQUILIBRIUM LINE,Short-Run Macroeconomic Equilibrium,45 Degree,The line on the Aggregate Expenditure model where Y = AE.
INVENTORY,Short-Run Macroeconomic Equilibrium,Unsold Goods,Goods that have been produced but not yet sold.
FISCAL POLICY,Fiscal Policy,Government,Changes in government spending (G) or taxation (T) to influence the economy.
COUNTER CYCLICAL POLICY,Fiscal Policy,Stabilize,Government actions to move the economy closer to full-employment output.
BUDGET DEFICIT,Fiscal Policy,Spending>Taxes,Occurs when government spending (G) is greater than tax revenue (T).
NATIONAL DEBT,Fiscal Policy,Accumulated Deficits,The total amount of money that the government owes to lenders.
AUTOMATIC STABILIZERS,Fiscal Policy,Built-in,Fiscal policies that automatically enact in response to changes in production level.
GOVERNMENT PURCHASES,Fiscal Policy,Public Spending,"Spending by the government on goods and services, like defense and infrastructure. (G)"
NET EXPORTS,Fiscal Policy,Exports - Imports,The value of a country's total exports minus its total imports. (NX)
DISCRETIONARY FISCAL POLICY,Fiscal Policy,Intentional,Changes in government spending or taxation decided upon by the government annually.
PUBLIC DEBT,Fiscal Policy,Government Owing,The total amount that the US Government owes to private lenders.
DEBT TO GDP RATIO,Fiscal Policy,Debt Burden,A measure comparing a country's total debt to its total economic output.
ARRA,Fiscal Policy,Recovery Act,American Reinvestment and Recovery Act (Stimulus Package) aimed to speed recovery from the Great Recession.
BUDGET SURPLUS,Fiscal Policy,Taxes>Spending,Occurs when tax revenue (T) is greater than government spending (G).
TRANSFER PAYMENTS,Fiscal Policy,No Good/Service,"Payments made by the government to individuals for which no good or service is received in return (e.g., welfare)."
MONETARY POLICY,Monetary Policy,Central Bank,Actions by the central bank involving altering the money supply to change interest rates.
FEDERAL RESERVE,Monetary Policy,US Central Bank,The Fed; the central bank of the United States responsible for monetary policy.
OPEN MARKET OPERATIONS,Monetary Policy,Bond Trading,The buying and selling of Treasury bonds by the Fed to alter the money supply.
FEDERAL FUNDS RATE,Monetary Policy,Interbank Rate,The interest rate that banks charge one another for short-term (overnight) loans.
RRR,Monetary Policy,Bank Reserves,Required Reserve Ratio: The fraction of deposits that banks are required to keep on reserve.
BARTER ECONOMY,Monetary Policy,Trade without Money,An economy involving trading goods and services directly for other goods and services.
MEDIUM OF EXCHANGE,Monetary Policy,Payment Method,A function of money; accepted by sellers for goods and services.
UNIT OF ACCOUNT,Monetary Policy,Value Measure,A function of money; used as a way to measure the value of goods and services.
STORE OF VALUE,Monetary Policy,Holds Worth,A function of money; its value does not deteriorate quickly.
FIAT MONEY,Monetary Policy,Government-backed,Money that has no intrinsic value other than being a means of exchange.
COMMODITY MONEY,Monetary Policy,Intrinsic Value,"Goods that have intrinsic value but can also serve as money (e.g., gold)."
LIQUIDITY,Monetary Policy,Easily Spent,The ability for money to be used as a form of payment quickly.
BOND,Monetary Policy,IOU,"A promise to pay back a specified amount of money at a future date, often with interest."
MONEY DEMAND,Monetary Policy,Desire for Cash,The relationship between the amount of M1 money demanded and the interest rate.
MONEY SUPPLY,Monetary Policy,Available Cash,"The total amount of M1 money in circulation, controlled by the Federal Reserve."
NOMINAL RETURN,Monetary Policy,Bond Profit,The monetary gain from purchasing a bond (Value of Bond - Price of Bond).
FOMC,Monetary Policy,Fed Committee,Federal Open Market Committee; the Fed body that determines monetary policy.
BANK RUN,Monetary Policy,Mass Withdrawal,When many depositors withdraw their funds from a bank simultaneously due to fears of insolvency.
QUANTITATIVE EASING,Monetary Policy,QE,Unconventional monetary policy where a central bank purchases assets to inject liquidity.
AGGREGATE DEMAND,Aggregate Demand and Aggregate Supply,Total Demand,AD Curve: Curve showing equilibrium level of spending at every price level.
AGGREGATE SUPPLY,Aggregate Demand and Aggregate Supply,Total Production,AS Curve: Curve showing the amount firms are willing to produce at various price levels.
STAGFLATION,Macroeconomic Shocks and Policy Responses,Stagnant Inflation,A period of stagnant economic growth accompanied by high inflation.
DEMAND SHOCK,Macroeconomic Shocks and Policy Responses,AD Shift,Anything that changes the Aggregate Expenditure curve other than price.
SUPPLY SHOCK,Macroeconomic Shocks and Policy Responses,AS Shift,"An event that suddenly changes the price of a commodity or service, affecting AS."
DOVE POLICY,Macroeconomic Shocks and Policy Responses,Prioritize Jobs,Policy response to a negative supply shock that saves jobs at the cost of higher prices.
HAWK POLICY,Macroeconomic Shocks and Policy Responses,Prioritize Prices,Policy response to a negative supply shock that keeps prices stable at the expense of jobs.
INTEREST RATE EFFECT,Aggregate Demand and Aggregate Supply,Borrowing Cost,"On AD: Changes in this affect autonomous consumption and planned investment, shifting AD."
FISCAL POLICY EFFECT,Aggregate Demand and Aggregate Supply,Gov. Spending/Taxes,On AD: Changes in G or T directly influence the AE curve and thus shift the AD curve.
MONETARY POLICY EFFECT,Aggregate Demand and Aggregate Supply,Money Supply Change,On AD: Changes in the money supply by the Fed alter interest rates and shift the AD curve.
COST OF INPUTS,Aggregate Demand and Aggregate Supply,Production Expenses,AS Shifter: Changes in costs of labor or capital shift the AS curve.
TECHNOLOGY,Aggregate Demand and Aggregate Supply,Efficiency,AS Shifter: Improvements in technology increase the AS curve.
YBAR,Macroeconomic Shocks and Policy Responses,Potential GDP,Full-Employment Output: The level of output when all resources are utilized efficiently.
AUTONOMOUS SPENDING,Aggregate Demand and Aggregate Supply,Non-Income Driven,Components of aggregate expenditure that do not depend on the level of national income.
WEALTH EFFECT,Aggregate Demand and Aggregate Supply,Price Level Impact,A change in the price level affecting purchasing power and thus consumption.
INTERNATIONAL TRADE EFFECT,Aggregate Demand and Aggregate Supply,Exports/Imports Impact,A change in the domestic price level affecting net exports.
NATURAL DISASTER,Aggregate Demand and Aggregate Supply,Supply Shock,As an AS Shifter: Can reduce the stock of capital and shift the Aggregate Supply curve left.
EXCESS DEMAND,Complete Macroeconomic Equilibrium,AD > AS,"In AD-AS Model: At a given price level, the aggregate quantity demanded exceeds aggregate quantity supplied."
EXCESS SUPPLY,Complete Macroeconomic Equilibrium,AS > AD,"In AD-AS Model: At a given price level, the aggregate quantity supplied exceeds aggregate quantity demanded."
